Country/area,Technology,Jobs (thousand),Source,Notes,Year
Peru,Solar Photovoltaic,0.36,IRENA estimate,Based on capacity and manufacturing trends,2022
Philippines,Biogas,1.767,IRENA focal point,,2022
Philippines,Geothermal Energy,11.628,IRENA focal point,,2022
Philippines,Liquid Biofuels,34.9,IRENA estimate,Employment factor based estimate,2022
Philippines,Solar Photovoltaic,7.3,IRENA estimate,Based on capacity and manufacturing trends,2022
Poland,Biogas,2.6,EurObserv'ER (2022),,2022
Poland,Geothermal Energy,1.2,EurObserv'ER (2022),,2022
Poland,Liquid Biofuels,21.4,EurObserv'ER (2022),,2022
Poland,Solar Photovoltaic,114.354,IRENA estimate,Based on capacity and manufacturing trends,2022
Portugal,Biogas,0.5,EurObserv'ER (2022),,2022
Portugal,Geothermal Energy,0.1,EurObserv'ER (2022),,2022
Portugal,Liquid Biofuels,0.3,EurObserv'ER (2022),,2022
Portugal,Solar Photovoltaic,12.592,IRENA estimate,Based on capacity and manufacturing trends,2022
Puerto Rico,Solar Photovoltaic,1.6,IRENA estimate,,2022
Qatar,Solar Photovoltaic,5.6,IRENA estimate,,2022
Republic of Korea,Biogas,0.08,IRENA focal point,Only in manufacturing ,2022
Republic of Korea,Geothermal Energy,0.26,IRENA focal point,Only in manufacturing ,2022
Republic of Korea,Liquid Biofuels,0.64,IRENA focal point,Only in manufacturing ,2022
Republic of Korea,Solar Photovoltaic,25.5,IRENA focal point,,2022
Romania,Biogas,0.1,EurObserv'ER (2022),,2022
Romania,Geothermal Energy,0.1,EurObserv'ER (2022),,2022
Romania,Liquid Biofuels,17.8,EurObserv'ER (2022),,2022
Romania,Solar Photovoltaic,4.169,IRENA estimate,Based on capacity and manufacturing trends,2022
Russian Federation,Solar Photovoltaic,2.58,IRENA estimate,Based on capacity and manufacturing trends,2022
Rwanda,Solar Photovoltaic,1.075,Mobisol (2016),,2022
Serbia,Solar Photovoltaic,0.295,IRENA estimate,Based on capacity and manufacturing trends,2022
Slovakia,Biogas,0.5,EurObserv'ER (2022),,2022
Slovakia,Geothermal Energy,0.1,EurObserv'ER (2022),,2022
Slovenia,Geothermal Energy,0.1,EurObserv'ER (2022),,2022
Slovenia,Liquid Biofuels,0.1,EurObserv'ER (2022),,2022
South Africa,Liquid Biofuels,0.595,IRENA focal point,,2022
Spain,Biogas,1.3,EurObserv'ER (2022),,2022
Spain,Liquid Biofuels,13.5,EurObserv'ER (2022),,2022
Sweden,Biogas,0.1,EurObserv'ER (2022),,2022
Sweden,Geothermal Energy,0.1,EurObserv'ER (2022),,2022
Sweden,Liquid Biofuels,7.3,EurObserv'ER (2022),,2022
Sweden,Solar Photovoltaic,7.387,IRENA estimate,Based on capacity and manufacturing trends,2022
Switzerland,Biogas,0.1,SFOE (2016),,2022
Switzerland,Geothermal Energy,1.2,IEA GEA (2013),,2022
Switzerland,Solar Photovoltaic,3.281,IRENA estimate,Based on capacity and manufacturing trends,2022
Thailand,Biogas,3.71,IRENA focal point,,2022
Thailand,Liquid Biofuels,97.144,IRENA estimate,Employment factor based estimate,2022
Thailand,Solar Photovoltaic,24.36,DEDE,,2022
Tunisia,Liquid Biofuels,0.25,GIZ (2015),,2022
Tunisia,Solar Photovoltaic,0.8,IRENA estimate,Based on capacity and manufacturing trends,2022
Türkiye,Biogas,0.7,IRENA focal point,,2022
Türkiye,Geothermal Energy,5.96,IRENA focal point,"5,410 in power and 550 in heat",2022
Türkiye,Liquid Biofuels,0.5,IRENA focal point,,2022
Türkiye,Solar Photovoltaic,26,IRENA estimate,Based on capacity and manufacturing trends,2022
Uganda,Solar Photovoltaic,23.7888,GOGLA,,2022
Ukraine,Solar Photovoltaic,4.654,IRENA estimate,Based on capacity and manufacturing trends,2022
United Arab Emirates,Solar Photovoltaic,5.4,IRENA estimate,Based on capacity and manufacturing trends,2022
United Kingdom,Biogas,3.24,REA (2021),,2022
United Kingdom,Geothermal Energy,0.961,EurObserv'ER (2020),,2022
United Kingdom,Liquid Biofuels,13.196,REA (2021),,2022
United Kingdom,Solar Photovoltaic,10.066,IRENA estimate,Based on capacity and manufacturing trends,2022
United Republic of Tanzania,Liquid Biofuels,1.31,Urbanchuk (2012),,2022
United Republic of Tanzania,Solar Photovoltaic,1.725,Mobisol (2016),"Includes workforce of Mobisol, Off-grid Electric and AKON Solar",2022
United States of America,Geothermal Energy,8.635,USDOE (2023),,2022
United States of America,Solar Photovoltaic,263.883,USDOE (2023),,2022
Uruguay,Biogas,0.016,IRENA focal point,,2022
Uruguay,Solar photovoltaic,0.77,IRENA focal point,,2022
Uzbekistan,Solar Photovoltaic,1.15,IRENA focal point,,2022
